,age_first_funding_year,age_last_funding_year,age_first_milestone_year_impute,age_last_milestone_year_impute,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,lat_decile,long_decile,labels
0,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,8,9,1
1,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,1,4,1
2,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1,0,5,1
3,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1,1,3,1
4,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,1,4,0,0
5,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,2,3,0
6,1.7205,5.211,3.0,6.6082,6,3,26000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1,2,3,1
7,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,1,5,0,1
8,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.0,1,9,8,1
9,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,1,3,2,1
10,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,3,2,1
11,1.0849,5.3370000000000015,0.0,4.6082,8,5,10400000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1,3,2,0
12,4.9041,4.9041,6.8872621179164435,7.637379092149457,0,1,350000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,5,6,0
13,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1,7,8,1
14,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,6,5,1
15,6.6082,6.6082,9.280480725844793,10.291251915079636,0,1,200000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,6,7,0
16,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1,2,3,0
17,4.5918,7.1726,0.0,12.6795,7,4,25000000,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1,4,1,1
18,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,1,7,8,1
19,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,3,2,0
20,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0,0,6,1
21,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,9,2,0
22,5.4904,5.4904,0.0,0.0,1,1,3170000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,3,2,0
23,0.0,3.3151,3.6959,5.662999999999999,4,2,2300000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0,4,1,0
24,0.2521,0.337,0.4732789571456214,0.5248255039771553,5,2,455000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1,6,5,0
25,4.8411,4.8411,1.0,1.0,3,1,13000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1,8,6,1
26,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,3,3,1
27,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,5,2,1
28,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.75,1,0,6,1
29,1.189,1.189,2.189,7.7753,5,1,1000000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1,0,5,1
30,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,1,3,3,0
31,4.1534,5.1671,3.0,3.0,6,2,8600000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,1,9,1,1
32,0.0,2.0192,2.8357414548024886,3.144592455877365,9,2,5000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,1,7,0
33,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,4,0,1
34,0.0822,0.0822,0.1154407426628192,0.1280138172905702,2,1,25000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,6,7,0
35,2.6575,2.6575,0.0,0.0,1,1,4000000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,7,7,0
36,0.6192,1.5945,1.0,4.3315,8,2,14600000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,5,1,0
37,1.063,5.7014,8.006981146201914,8.879050826039622,0,3,44000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,1,2,4,0
38,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,1,5,1,1
39,0.0,5.9041,3.8411,7.1370000000000005,18,7,29915001,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.75,1,8,8,1
40,0.0,4.8027,3.7205,7.6164,26,4,33000000,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3.0,1,0,6,1
41,0.0,0.5836,0.5836,0.5945,9,2,125000,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,9,9,1
42,0.1041,2.3863,2.3315,2.7918,7,2,4000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,6,5,0
43,3.4904,3.4904,5.6603,8.3425,10,1,10000000,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,9,1,1
44,4.6658,4.6658,8.7425,10.2247,25,1,6000000,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,1,2,3,1
45,2.6247,2.6247,3.6860987502080484,4.0875652827561995,4,1,25000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,1,2,3,1
46,0.926,2.9534,0.8329,2.7425,2,3,3750000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.0,1,7,8,1
